,ID,SMILES,graph_file
0,pubchem:3303,CCOC1=C2C3=C(CC4C5C3(CCN4C)C(O2)C(C=C5)O)C=C1,graph_pubchem:3303
1,pubchem:3304,CC(=O)OC1CCC2C3CCC4(C(C3CCC2=C1)CCC4(C#C)OC(=O)C)C,graph_pubchem:3304
2,pubchem:3305,CC(O)(P(=O)(O)O)P(=O)(O)O,graph_pubchem:3305
3,pubchem:3306,CCNCC(C1=CC(=CC=C1)O)O,graph_pubchem:3306
4,pubchem:3307,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C,graph_pubchem:3307
5,pubchem:3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,graph_pubchem:3308
6,pubchem:3309,CCN1C(C2=CC=CC=C2C1=O)NC3=CC=C(C=C3)OCCN4CCCCC4,graph_pubchem:3309
7,pubchem:3310,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,graph_pubchem:3310
8,pubchem:3311,CCSC(=NC1=CC=C(C=C1)C(F)(F)F)N,graph_pubchem:3311
9,pubchem:3312,CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C(=C(C=C1C)OC)C)C,graph_pubchem:3312
10,pubchem:3313,CC1C(CCC(N1C)(C)C)OC(=O)C(C2=CC=CC=C2)O,graph_pubchem:3313
11,pubchem:3314,COC1=C(C=CC(=C1)CC=C)O,graph_pubchem:3314
12,pubchem:3315,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)O)S(=O)(=O)O)O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)O)S(=O)(=O)O)O,graph_pubchem:3315
13,pubchem:3316,CCCCCCOC1=CC=CC=C1C(=O)N,graph_pubchem:3316
14,pubchem:3317,CCCCC=CC=CCC(=O)OC12CC(C3(C(C1C2(C)C)C=C(CC4(C3C=C(C4=O)C)O)CO)O)C,graph_pubchem:3317
15,pubchem:3318,CCCCCC=CCC=CCC=CCC=CCCC(C)C(=O)NCCF,graph_pubchem:3318
16,pubchem:3319,CC12CC(=O)NC13CC4C(C(C(=N4)CC5=C(C6=C([N-]5)C(=C7C(C(C(=CC(C2CCC(=O)O)[N-]3)[N-]7)CC(=O)O)CCC(=O)O)C(=O)CC6)CC(=O)O)(C)CC(=O)N)CCC(=O)O.[Ni+3],graph_pubchem:3319
17,pubchem:3320,CC12CC(=O)NC13CC4C(C(C(=N4)CC5=C(C6=C(N5)C(=C7C(C(C(=CC(C2CCC(=O)O)N3)N7)CC(=O)O)CCC(=O)O)C(=O)CC6)CC(=O)O)(C)CC(=O)N)CCC(=O)O,graph_pubchem:3320
18,pubchem:3321,CCCCCCCC=CC(C#CC#CC(C=C)O)O,graph_pubchem:3321
19,pubchem:3322,CCCCCCCC=CCC#CC#CC(C=C)O,graph_pubchem:3322
20,pubchem:3323,CC(CCCC(C(F)(F)F)(C(F)(F)F)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,graph_pubchem:3323
